0383
CHA_407594_US1
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2023-11-29 01:40:00,24.58,5.557776,1.33
2023-11-29 01:45:00,23.81,5.017707,1.26
2023-11-29 01:50:00,23.81,5.05753,1.27
2023-11-29 01:55:00,29.2,6.744385,1.25
2023-11-29 02:00:00,23.81,5.097353,1.28
2023-11-29 02:05:00,28.54,6.937926,1.33
2023-11-29 02:10:00,23.81,4.898238,1.23
2023-11-29 02:15:00,23.81,4.858414,1.22
2023-11-29 02:20:00,23.81,4.898238,1.23
2023-11-29 02:25:00,26.98,5.758623,1.2
2023-11-29 02:30:00,27.34,6.021133,1.23
2023-11-29 02:35:00,31.03,7.088623,1.2
2023-11-29 02:40:00,30.19,6.239549,1.1
2023-11-29 02:45:00,29.22,5.887199,1.09
2023-11-29 02:50:00,28.32,5.982803,1.16
2023-11-29 02:55:00,28.89,6.372222,1.2
2023-11-29 03:00:00,31.02,7.321442,1.24
2023-11-29 03:05:00,30.27,7.004463,1.23
2023-11-29 03:10:00,23.81,4.659299,1.17
2023-11-29 03:15:00,23.92,5.494213,1.37
2023-11-29 03:20:00,23.81,5.176999,1.3
2023-11-29 03:25:00,29.82,7.29521,1.31
2023-11-29 03:30:00,23.81,4.898238,1.23
2023-11-29 03:35:00,23.81,4.818592,1.21
2023-11-29 03:40:00,23.81,4.738945,1.19
2023-11-29 03:45:00,23.81,4.619476,1.16
2023-11-29 03:50:00,23.81,4.380538,1.1
2023-11-29 03:55:00,29.74,5.601959,1.01
2023-11-29 04:00:00,30.08,5.697976,1.01
2023-11-29 04:05:00,23.81,3.902661,0.98
2023-11-29 04:10:00,30.5,5.643814,0.98
2023-11-29 04:15:00,30.92,6.875421,1.17
2023-11-29 04:20:00,23.81,4.898238,1.23
2023-11-29 04:25:00,29.46,6.343118,1.16
2023-11-29 04:30:00,29.31,6.348729,1.17
2023-11-29 04:35:00,41.88,11.42434,1.24
2023-11-29 04:40:00,23.81,4.938061,1.24
2023-11-29 04:45:00,29.61,6.722379,1.22
